NATUR'L OLEO             ;930 ML/L ÓLEO VEGETA;10534;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;18,72
NIVEL LASER              ;NÃO INFORMADO       ;7868;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;65000,0
NIVEL LASER              ;NÃO INFORMADO       ;7868;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;65000,0
NOMINEE                  ;400 SC 400 G/L BISPI;8144;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;1360,0
NOMINEE                  ;400 SC 400 G/L BISPI;8144;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1000,0
NOMINEE                  ;400 SC 400 G/L BISPI;8144;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;1000,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;100,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;150,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;135,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;165,26
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;168,47
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;130,25
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;153,9
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;163,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;95,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;150,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;159,53
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;163,17
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;178,37
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;135,5
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;TO        ;NORTE          ;2026;2;PREÇO PAGO PELO PRODUTOR                                    ;183,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;95,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;175,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;95,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;173,01
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;166,78
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;178,8
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;140,0
NOMOLT                   ;150.0 150 G/L TEFLUB;7242;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;183,0
NUPRID 700 WG            ;WG 700 G/KG IMIDACLO;10362;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;176,33
NUPRID 700 WG            ;WG 700 G/KG IMIDACLO;10362;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;74,02
NUPRID 700 WG            ;WG 700 G/KG IMIDACLO;10362;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;179,26
NUPRID 700 WG            ;WG 700 G/KG IMIDACLO;10362;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;65,0
NUPRID 700 WG            ;WG 700 G/KG IMIDACLO;10362;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;184,4
NUPRID 700 WG            ;WG 700 G/KG IMIDACLO;10362;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;76,8
OBERON                   ;240 G/L ESPIROMESIFE;10903;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;122,72
OCHIMA                   ;NÃO INFORMADO       ;13396;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;43,0
OCHIMA                   ;NÃO INFORMADO       ;13396;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;46,0
OCTABORATO               ;SULBORO             ;13586;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;9,22
OCTABORATO               ;SULBORO             ;13586;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;9,04
OCTABORATO DE NA         ;NUTRIPLANT PÓ       ;8929;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
OCTABORATO DE NA         ;NÃO INFORMADO       ;8928;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;14,0
OCTABORATO DE NA         ;NUTRIPLANT PÓ       ;8929;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;30,0
OCTABORATO DE NA         ;NÃO INFORMADO       ;8928;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;15,0
OCTANE                   ;BIOLÓGICO 85 G/L ISA;14077;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;80,0
OCTANE                   ;NÃO INFORMADO       ;13998;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;127,0
OCTANE                   ;BIOLÓGICO 85 G/L ISA;14077;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;310,0
OCTANE                   ;BIOLÓGICO 85 G/L ISA;14077;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;79,0
OCTANE                   ;NÃO INFORMADO       ;13998;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;116,79
OCTANE                   ;BIOLÓGICO 85 G/L ISA;14077;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;285,0
OCTANE                   ;BIOLÓGICO 85 G/L ISA;14077;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;75,0
OCTANE                   ;NÃO INFORMADO       ;13998;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;99,73
OCTANE                   ;BIOLÓGICO 85 G/L ISA;14077;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;238,0
OCULOS                   ;NÃO INFORMADO       ;8764;AM        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;12,0
OCULOS                   ;NÃO INFORMADO       ;8764;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;6,8
OFF ROAD                 ;200 G/L GLUFOSINATO ;15390;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;22,5
OFICINA DE ALVENARIA     ;NÃO INFORMADO       ;4398;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA DE ALVENARIA     ;NÃO INFORMADO       ;4398;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;23389,0
OFICINA DE ALVENARIA     ;ALVENARIA, COM FERRA;12126;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;25439,0
OFICINA DE ALVENARIA     ;NÃO INFORMADO       ;4398;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA DE ALVENARIA     ;NÃO INFORMADO       ;4398;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;25500,0
OFICINA DE ALVENARIA     ;ALVENARIA, COM FERRA;12126;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;27500,0
OFICINA DE ALVENARIA     ;NÃO INFORMADO       ;4398;RS        ;SUL            ;2026;4;PREÇO PAGO PELO PRODUTOR                                    ;25421,0
OFICINA E ALMOXARIFADO   ;NÃO INFORMADO       ;10154;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA E ALMOXARIFADO   ;NÃO INFORMADO       ;10154;PI        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA E ALMOXARIFADO   ;NÃO INFORMADO       ;10154;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA E ALMOXARIFADO   ;NÃO INFORMADO       ;10154;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA E ALMOXARIFADO   ;NÃO INFORMADO       ;10154;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA E ALMOXARIFADO   ;NÃO INFORMADO       ;10154;PI        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA MECANICA         ;MADEIRA E ALVENARIA ;14583;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA MECANICA         ;MADEIRA E ALVENARIA ;14583;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA MECANICA         ;MADEIRA E ALVENARIA ;14583;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA MECANICA DE ALVEN;NÃO INFORMADO       ;4402;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
OFICINA MECANICA DE ALVEN;NÃO INFORMADO       ;4402;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
OHKAMI 10 EW             ;NÃO INFORMADO       ;15305;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;350,0
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;14,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;10,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;14,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;10,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;16,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;10,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;15,0
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;11,38
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;14,0
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;11,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;13,0
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;11,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;15,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;11,5
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;12,25
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;11,13
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;14,0
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;13,0
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;14,25
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;13,0
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;14,33
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;13,0
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;MA        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;14,25
OLEO DE BABACU           ;NÃO INFORMADO       ;7563;PI        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;13,0
OLEO DE COPAIBA          ;NÃO INFORMADO       ;7565;AM        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;49,0
OLEO DE COPAIBA          ;NÃO INFORMADO       ;7565;AM        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;45,0
OLEO DE COPAIBA          ;NÃO INFORMADO       ;7565;AM        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;43,0
OLEO DE COPAIBA          ;NÃO INFORMADO       ;7565;AM        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;42,0
OLEO DE COPAIBA          ;NÃO INFORMADO       ;7565;AM        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;40,0
OLEO DE MURUMURU         ;NÃO INFORMADO       ;11586;AC        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;49,0
