SEMENTE DE TRITICALE     ;NÃO INFORMADO       ;5322;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;3,47
SILO-SECADOR             ;10 15000 LITROS - CA;12480;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;135000,0
SILWET                   ;L-77 AG 1000 G/L MOM;7141;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;83,2
SILWET                   ;NÃO INFORMADO       ;6239;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;120,0
SINERGE EC               ;NÃO INFORMADO       ;10496;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;67,0
SINERGE EC               ;EC 200 G/L + 300 G/L;10497;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;65,61
SINERGE EC               ;NÃO INFORMADO       ;10496;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;85,0
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,48
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,24
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,03
SISAL                    ;EM BRUTO TIPO 2     ;4605;PB        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,4
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,24
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,48
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,0
SISAL                    ;EM BRUTO TIPO 2     ;4605;PB        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,4
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,48
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,24
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,05
SISAL                    ;EM BRUTO TIPO 2     ;4605;PB        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,4
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,24
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,48
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,0
SISAL                    ;EM BRUTO TIPO 2     ;4605;PB        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,4
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,48
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,23
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,04
SISAL                    ;EM BRUTO TIPO 2     ;4605;PB        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,4
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,25
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,48
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,11
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,0
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,48
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,22
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,38
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,17
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,03
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,1
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,52
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,29
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,53
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,32
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,2
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,2
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,34
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,45
SISAL                    ;EM BRUTO TIPO 2     ;4605;BA        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,43
SISAL                    ;EM BRUTO TIPO 1     ;4604;BA        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,57
SISAL                    ;EM BRUTO TIPO 3     ;14731;BA        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,2
SISTEMA DE IRRIGACAO     ;NÃO INFORMADO       ;11821;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;227600,0
SISTEMA DE IRRIGACAO     ;CONJUNTO PARA SISTEM;14227;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,4
SISTEMA DE IRRIGACAO     ;GOTEJAMENTO         ;15249;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;
SISTEMA DE IRRIGACAO     ;10 CONJUNTO PARA SIS;12799;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
SISTEMA DE IRRIGACAO     ;CONJUNTO PARA SISTEM;14227;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
SISTEMA DE IRRIGACAO     ;GOTEJAMENTO         ;15249;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
SISTEMA DE IRRIGACAO     ;NÃO INFORMADO       ;11821;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;250000,0
SISTEMA DE IRRIGACAO     ;CONJUNTO PARA SISTEM;14509;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
SISTEMA DE IRRIGACAO     ;NÃO INFORMADO       ;11821;RS        ;SUL            ;2026;4;PREÇO PAGO PELO PRODUTOR                                    ;250000,0
SISTEMA DE IRRIGACAO POR ;125                 ;15513;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;300000,0
SISTEMA DE IRRIGACAO POR ;NÃO INFORMADO       ;15442;RO        ;NORTE          ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;
SISTEMA DE IRRIGACAO POR ;NÃO INFORMADO       ;15442;RO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
SMITE                    ;SC 110 G/L ETOXAZOL ;13595;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;293,0
SMITE                    ;SC 110 G/L ETOXAZOL ;13595;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;287,95
SOBERAN                  ;NÃO INFORMADO       ;10410;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;540,0
SOBERAN                  ;NÃO INFORMADO       ;10410;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;548,58
SOBERAN                  ;420 G/L TEMBOTRIONA ;10473;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;568,93
SOBERAN                  ;420 G/L TEMBOTRIONA ;10473;SC        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;644,3
SOBERAN                  ;420 G/L TEMBOTRIONA ;10473;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;407,75
SOBERAN                  ;NÃO INFORMADO       ;10410;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;438,2
SOBERAN                  ;NÃO INFORMADO       ;10410;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;526,64
SOBERAN                  ;420 G/L TEMBOTRIONA ;10473;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;553,03
SOBERAN                  ;420 G/L TEMBOTRIONA ;10473;SC        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;542,0
SOBERAN                  ;420 G/L TEMBOTRIONA ;10473;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;630,0
SOBERAN                  ;420 G/L TEMBOTRIONA ;10473;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;569,4
SOJA                     ;EM GRÃOS            ;4744;BA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,94
SOJA                     ;EM GRÃOS            ;4744;DF        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,98
SOJA                     ;EM GRÃOS            ;4744;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,9
SOJA                     ;EM GRÃOS            ;4744;MA        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,96
SOJA                     ;EM GRÃOS            ;4744;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,97
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;1,96
SOJA                     ;EM GRÃOS            ;4744;MT        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,84
SOJA                     ;EM GRÃOS            ;4744;PA        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,92
SOJA                     ;EM GRÃOS            ;4744;PI        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,91
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;6;ATACADO                                                     ;2,17
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,96
SOJA                     ;EM GRÃOS            ;4744;RO        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,71
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;6;ATACADO                                                     ;2,18
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,03
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;6;ATACADO                                                     ;2,19
SOJA                     ;EM GRÃOS            ;4744;SP        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,03
SOJA                     ;EM GRÃOS            ;4744;TO        ;NORTE          ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,88
SOJA                     ;EM GRÃOS            ;4744;AP        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
SOJA                     ;EM GRÃOS            ;4744;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,94
SOJA                     ;EM GRÃOS            ;4744;DF        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,91
SOJA                     ;EM GRÃOS            ;4744;MA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,97
SOJA                     ;EM GRÃOS            ;4744;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,06
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;2,04
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;MT        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,9
SOJA                     ;EM GRÃOS            ;4744;PA        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,95
SOJA                     ;EM GRÃOS            ;4744;PI        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,97
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,96
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;7;ATACADO                                                     ;2,21
SOJA                     ;EM GRÃOS            ;4744;RO        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,75
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;7;ATACADO                                                     ;2,15
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;7;ATACADO                                                     ;2,22
SOJA                     ;EM GRÃOS            ;4744;SP        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
SOJA                     ;EM GRÃOS            ;4744;TO        ;NORTE          ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,93
SOJA                     ;EM GRÃOS            ;4744;AP        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
SOJA                     ;EM GRÃOS            ;4744;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;DF        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,1
SOJA                     ;EM GRÃOS            ;4744;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,98
SOJA                     ;EM GRÃOS            ;4744;MA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,06
SOJA                     ;EM GRÃOS            ;4744;MG        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,13
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,08
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;2,11
SOJA                     ;EM GRÃOS            ;4744;MT        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
SOJA                     ;EM GRÃOS            ;4744;PA        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;PI        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,07
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;8;ATACADO                                                     ;2,24
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,99
SOJA                     ;EM GRÃOS            ;4744;RO        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,88
SOJA                     ;EM GRÃOS            ;4744;RR        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,29
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;8;ATACADO                                                     ;2,23
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,06
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;8;ATACADO                                                     ;2,24
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,06
SOJA                     ;EM GRÃOS            ;4744;SP        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,06
SOJA                     ;EM GRÃOS            ;4744;TO        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;AP        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,87
SOJA                     ;EM GRÃOS            ;4744;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;DF        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,08
SOJA                     ;EM GRÃOS            ;4744;GO        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,01
SOJA                     ;EM GRÃOS            ;4744;MA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,02
SOJA                     ;EM GRÃOS            ;4744;MG        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,12
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,09
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;2,1
SOJA                     ;EM GRÃOS            ;4744;MT        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,01
SOJA                     ;EM GRÃOS            ;4744;PA        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,03
SOJA                     ;EM GRÃOS            ;4744;PI        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,1
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;9;ATACADO                                                     ;2,23
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,99
SOJA                     ;EM GRÃOS            ;4744;RO        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,97
SOJA                     ;EM GRÃOS            ;4744;RR        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,29
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,04
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;9;ATACADO                                                     ;2,21
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;9;ATACADO                                                     ;2,25
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,06
SOJA                     ;EM GRÃOS            ;4744;SP        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,07
SOJA                     ;EM GRÃOS            ;4744;TO        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,12
SOJA                     ;EM GRÃOS            ;4744;AP        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
SOJA                     ;EM GRÃOS            ;4744;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,01
SOJA                     ;EM GRÃOS            ;4744;DF        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,01
SOJA                     ;EM GRÃOS            ;4744;GO        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,98
SOJA                     ;EM GRÃOS            ;4744;MA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,08
SOJA                     ;EM GRÃOS            ;4744;MG        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,12
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;2,1
SOJA                     ;EM GRÃOS            ;4744;MS        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,08
SOJA                     ;EM GRÃOS            ;4744;MT        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,01
SOJA                     ;EM GRÃOS            ;4744;PA        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,05
SOJA                     ;EM GRÃOS            ;4744;PI        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,09
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,01
SOJA                     ;EM GRÃOS            ;4744;PR        ;SUL            ;2025;10;ATACADO                                                     ;2,22
SOJA                     ;EM GRÃOS            ;4744;RO        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
SOJA                     ;EM GRÃOS            ;4744;RR        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,29
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,03
SOJA                     ;EM GRÃOS            ;4744;RS        ;SUL            ;2025;10;ATACADO                                                     ;2,2
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;10;ATACADO                                                     ;2,21
SOJA                     ;EM GRÃOS            ;4744;SC        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,06
SOJA                     ;EM GRÃOS            ;4744;SP        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,06
SOJA                     ;EM GRÃOS            ;4744;TO        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,1
SOJA                     ;EM GRÃOS            ;4744;AP        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,97
SOJA                     ;EM GRÃOS            ;4744;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,05
